"regional";"municipio";"prestador_matricula";"prestador_nome";"ramo";"referencia";"remessa";"situacao";"valor_pagar";"observacoes"
UBERLANDIA;UBERLANDIA;3869356;COMPLEXO HOSPITALAR UBERLANDIA S.A;HOSP;"2022-10-01";2002675704;PAGPROC;502.58;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2023-08-01";2002797570;PAGPROC;5503.73;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2024-11-01";2003428159;PAGPROC;248.32;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2023-11-01";2003428711;PAGPROC;212.30;
UBERLANDIA;UBERLANDIA;4049362;CENTRO ODONTOLOGICO ROBERTA BORGES LTDA;CONSULTODON;"2025-02-01";2003240015;EMREVISAO;0.00;
BELO HORIZONTE;BELO HORIZONTE;3766842;CLINICA ODONTOLOGICA CAMPOSTRINI E LEOPOLDO LTDA;CONSULTODON;"2024-08-01";2003079114;LIBPAGTO;371.10;
BELO HORIZONTE;BELO HORIZONTE;3087217;ASSOCIACAO MARIO PENNA;HOSP;"2025-10-01";2003325294;EMREVISAO;8376.49;
ARAXA;ARAXA;48778;MELHORAMENTOS DOM BOSCO SOCIEDADE ANONIMA;HOSP;"2025-12-01";2003380983;PAGPROC;13.50;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-12-01";2003403636;PAGPROC;31220.21;
BELO HORIZONTE;BELO HORIZONTE;4296344;SAO MARCOS - SAUDE E MEDICINA DIAGNOSTICA S/A;CLIN;"2025-10-01";2003360040;EMREVISAO;0.00;
UBERLANDIA;UBERLANDIA;3869356;COMPLEXO HOSPITALAR UBERLANDIA S.A;HOSP;"2022-10-01";2002675696;PAGPROC;120.50;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-12-01";2003407617;EMREVISAO;5016.00;
UBERLANDIA;ARAGUARI;3145269;SANTA CASA DE MISERICORDIA DE ARAGUARI;HOSP;"2025-10-01";2003414223;EMREVISAO;2288.00;
PEDRO LEOPOLDO;SANTA LUZIA;4134327;JM CONSULTORIO E DIAGNOSTICO LTDA;CLIN;"2025-08-01";2003315290;EMREVISAO;0.00;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-12-01";2003417126;EMREVISAO;80.00;
MONTES CLAROS;MONTES CLAROS;3723425;CLINICA MEDICA BOREM LTDA;CLIN;"2024-02-01";2002906290;EMREVISAO;0.00;
UBERLANDIA;UBERLANDIA;3613278;HOSPITAL SANTA GENOVEVA LTDA;HOSP;"2024-08-01";2003091312;EMREVISAO;130.62;
UBERABA;UBERABA;4172694;SALK LABORATORIOS LTDA;LABO;"2025-11-01";2003355658;LIBPAGTO;672.69;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2025-11-01";2003342176;EMREVISAO;0.00;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-12-01";2003403085;PAGPROC;26489.22;
UBERABA;UBERABA;3869297;SOCIEDADE EDUCACIONAL UBERABENSE;HOSP;"2025-12-01";2003422994;PAGPROC;197.06;
MONTES CLAROS;MONTES CLAROS;3466166;LABORATORIO MEDICO MENDES E SILVEIRA LTDA;LABO;"2025-12-01";2003419755;EMREVISAO;11567.25;
MANHUACU;MANHUACU;2733264;HOSPITAL CESAR LEITE;HOSP;"2025-09-01";2003359358;EMREVISAO;521.65;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-11-01";2003423581;PAGPROC;383.21;
MURIAE;MURIAE;48134;CASA DE SAUDE SANTA LUCIA S/A;HOSP;"2025-04-01";2003320082;LIBPAGTO;0.00;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-11-01";2003397877;PAGPROC;114.59;
PASSOS;PASSOS;48077;IRMANDADE DA SANTA CASA DE MISERICORDIA DE PASSOS;HOSP;"2025-12-01";2003428163;PAGPROC;74.50;
UBERLANDIA;UBERLANDIA;3613278;HOSPITAL SANTA GENOVEVA LTDA;HOSP;"2025-09-01";2003303096;EMREVISAO;0.00;
BELO HORIZONTE;BELO HORIZONTE;4296344;SAO MARCOS - SAUDE E MEDICINA DIAGNOSTICA S/A;CLIN;"2025-09-01";2003352813;EMREVISAO;0.00;
TEOFILO OTONI;POTE;4058415;ODONTOPOTE IMPLANTES & ESTETICA OROFACIAL LTDA;CONSULTODON;"2022-05-01";2002544620;EMREVISAO;0.00;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-10-01";2003417172;PAGPROC;2934.15;
ITABIRA;GUANHAES;3513159;LABORATORIO PIRES MIRANDA E MIRANDA LTDA;LABO;"2024-05-01";2003019208;EMREVISAO;0.00;
JUIZ DE FORA;JUIZ DE FORA;2716044;MASP - CLINICA RADIOLOGICA S/A;CLIN;"2024-12-01";2003200793;LIBPAGTO;21.86;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2024-06-01";2003428052;PAGPROC;434.72;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2025-11-01";2003346386;EMREVISAO;0.00;
UBERLANDIA;UBERLANDIA;3613278;HOSPITAL SANTA GENOVEVA LTDA;HOSP;"2025-10-01";2003323054;EMREVISAO;0.00;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2023-12-01";2002835428;EMREVISAO;0.00;
BELO HORIZONTE;BELO HORIZONTE;3766842;CLINICA ODONTOLOGICA CAMPOSTRINI E LEOPOLDO LTDA;CONSULTODON;"2025-03-01";2003229341;EMREVISAO;0.00;
BELO HORIZONTE;BELO HORIZONTE;4423992;VOLAR ODONTOLOGIA LTDA;CLINODON;"2025-11-01";2003354381;PAGPROC;30.00;
